# Temperature 	 alpha_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 6.483873451940782218e+01 1.024294675645213815e+00 4.117315441103549745e+00
-4.000000000000000000e+01 6.358032832466564344e+01 8.528604594875219824e-01 3.967182748234384881e+00
-3.000000000000000000e+01 5.966050046561878872e+01 6.170556340407583606e-01 3.651608755690130881e+00
-2.500000000000000000e+01 5.703114360209869460e+01 9.334907969056549515e-01 3.637493392929710190e+00
-2.000000000000000000e+01 5.560855582572714439e+01 6.911124336062637319e-01 3.446325432751107254e+00
-1.500000000000000000e+01 5.458922749788700912e+01 6.270845876747594971e-01 3.363177411877433354e+00
-1.000000000000000000e+01 5.302293856618729961e+01 5.553943364816957828e-01 3.247458489637256029e+00
