# Temperature 	 alpha_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 8.986018648720262547e+01 9.379933380853799907e-01 2.061874915720619761e+00
-4.000000000000000000e+01 8.525866370397609728e+01 7.804897058590005710e-01 1.855452863078715042e+00
-3.000000000000000000e+01 7.866255392211250808e+01 5.639255715324411611e-01 1.582675431874965399e+00
-2.500000000000000000e+01 7.520266858870488136e+01 8.547396405139749964e-01 1.775192774775777860e+00
-2.000000000000000000e+01 7.281339791064540634e+01 6.321859159064696643e-01 1.541547157885049701e+00
-1.500000000000000000e+01 7.060101523734735451e+01 5.733683319472434592e-01 1.459247163280750659e+00
-1.000000000000000000e+01 6.805823645346504236e+01 5.074974415787339987e-01 1.368491782987503402e+00
