# Temperature 	 electron_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 3.822602641583214336e+02 4.353458875459547350e+00 8.207090078661428478e+00
-4.000000000000000000e+01 3.389345664724449421e+02 1.292425854199615864e+00 5.157486266286137599e+00
-3.000000000000000000e+01 3.012033327846165207e+02 9.923127557265412069e-01 4.530138016104589660e+00
-2.500000000000000000e+01 2.880161106266548927e+02 1.150142387870177085e+00 4.435059411755340797e+00
-2.000000000000000000e+01 2.743791260759012403e+02 1.211674287391963034e+00 4.297095242105151591e+00
-1.500000000000000000e+01 2.583187776052210438e+02 1.021338257402615302e+00 3.996619821835657227e+00
-1.000000000000000000e+01 2.444089257809768583e+02 1.057609041485467749e+00 3.851758603081627097e+00
-5.000000000000000000e+00 2.319847810923219527e+02 1.022647302444611217e+00 3.683022843908613897e+00
