# Temperature 	 electron_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 3.891850610983543106e+02 4.370188322101810741e+00 8.298208512683455496e+00
-4.000000000000000000e+01 3.456835080494032013e+02 1.293285993500637332e+00 5.248174691005496939e+00
-3.000000000000000000e+01 3.077991264573553849e+02 9.890862838294280923e-01 4.615686687678357103e+00
-2.500000000000000000e+01 2.945583784737429482e+02 1.148066041792077607e+00 4.518964321997468225e+00
-2.000000000000000000e+01 2.808660425496125868e+02 1.209694259227235058e+00 4.381047598763514905e+00
-1.500000000000000000e+01 2.647405064752175008e+02 1.016569601311161808e+00 4.078375788119798173e+00
-1.000000000000000000e+01 2.507741957322826067e+02 1.052672964297573843e+00 3.924216033249900537e+00
-5.000000000000000000e+00 2.382996224852474541e+02 1.016658721808059163e+00 3.753930693846662781e+00
