# Wavelength(nm) 	 QE
2.006462035541195519e+02	0.000000000000000000e+00
2.650000000000000000e+02	0.000000000000000000e+00
2.707592891760904195e+02	1.130742049469972768e-02
2.785137318255250420e+02	3.992932862190819859e-02
2.827140549273020724e+02	6.325088339222617595e-02
2.878836833602584875e+02	8.727915194346291816e-02
2.917609046849757419e+02	1.144876325088339530e-01
2.953150242326332773e+02	1.360424028268551744e-01
2.995153473344103077e+02	1.664310954063604464e-01
3.046849757673667227e+02	1.893992932862191003e-01
3.105008077544426328e+02	2.155477031802120469e-01
3.176090468497576467e+02	2.349823321554770639e-01
3.260096930533117643e+02	2.512367491166077604e-01
3.357027463651049857e+02	2.628975265017667873e-01
3.508885298869143980e+02	2.706713780918728052e-01
3.644588045234248739e+02	2.703180212014134054e-01
3.770597738287560219e+02	2.696113074204947169e-01
3.903069466882067786e+02	2.703180212014134054e-01
4.045234248788368063e+02	2.667844522968197962e-01
4.177705977382875631e+02	2.632508833922261871e-01
4.281098546042003363e+02	2.586572438162544341e-01
4.387722132471728855e+02	2.530035335689045928e-01
4.481421647819062741e+02	2.466431095406360907e-01
4.546042003231017361e+02	2.381625441696113288e-01
4.594507269789983184e+02	2.303886925795053109e-01
4.633279483037156297e+02	2.265017667844523297e-01
4.684975767366720447e+02	2.243816254416961531e-01
4.749596122778675067e+02	2.180212014134275955e-01
4.798061389337641458e+02	2.106007067137809219e-01
4.862681744749596078e+02	2.021201413427561877e-01
4.924071082390952938e+02	1.936395759717314813e-01
5.004846526655896355e+02	1.869257950530035517e-01
5.098546042003230809e+02	1.784452296819788175e-01
5.163166397415185429e+02	1.706713780918728274e-01
5.227786752827139480e+02	1.618374558303887489e-01
5.279483037156703631e+02	1.512367491166077826e-01
5.334410339256864972e+02	1.367491166077738907e-01
5.389337641357026314e+02	1.219081272084805850e-01
5.444264943457188792e+02	1.081272084805654232e-01
5.492730210016154615e+02	9.363957597173147573e-02
5.567043618739902513e+02	8.303886925795059271e-02
5.654281098546041449e+02	7.279151943462899843e-02
5.747980613893375903e+02	6.219081272084810846e-02
5.841680129240710357e+02	5.371024734982338122e-02
5.938610662358643140e+02	4.522968197879859154e-02
6.016155088852988229e+02	3.851590106007069664e-02
6.168012924071082352e+02	2.614840989399297780e-02
6.297253634894991592e+02	1.731448763250888548e-02
6.413570274636510931e+02	9.893992932862260420e-03
6.536348949919224651e+02	6.007067137809229788e-03
6.659127625201938372e+02	3.533568904593735807e-03
6.791599353796445939e+02	1.413427561837465960e-03
6.995153473344103077e+02	3.533568904593664900e-04
8.000000000000000000e+02	0.000000000000000000e+00
