# Wavelength(nm) 	 QE 	 error
3.850000000000000000e+02	7.351459999999999662e-01	1.212555978089259251e-03
3.900000000000000000e+02	7.333699999999999664e-01	1.211090417764090635e-03
3.950000000000000000e+02	7.319700000000000095e-01	1.209933882491105424e-03
4.000000000000000000e+02	7.303979999999999917e-01	1.208633939619436701e-03
4.050000000000000000e+02	7.283140000000000169e-01	1.206908447232017505e-03
4.100000000000000000e+02	7.275500000000000300e-01	1.206275258802898742e-03
4.150000000000000000e+02	7.280680000000000485e-01	1.206704603455211865e-03
4.200000000000000000e+02	7.256780000000000452e-01	1.204722374657331502e-03
4.250000000000000000e+02	7.235179999999999945e-01	1.202928094276627981e-03
4.300000000000000000e+02	7.209719999999999462e-01	1.200809726809372400e-03
4.350000000000000000e+02	7.169680000000000497e-01	1.197470667699213369e-03
4.400000000000000000e+02	7.165420000000000122e-01	1.197114864998342692e-03
4.450000000000000000e+02	7.115320000000000533e-01	1.192922461855757104e-03
4.500000000000000000e+02	7.090440000000000076e-01	1.190835001165148821e-03
4.550000000000000000e+02	7.037660000000000027e-01	1.186394538085876324e-03
4.600000000000000000e+02	6.969379999999999464e-01	1.180625258073026308e-03
4.650000000000000000e+02	6.891399999999999748e-01	1.174001703576276704e-03
4.700000000000000000e+02	6.811880000000000157e-01	1.167208636020142026e-03
4.750000000000000000e+02	6.685799999999999521e-01	1.156356346460726521e-03
4.800000000000000000e+02	6.519519999999999760e-01	1.141886158949306134e-03
4.850000000000000000e+02	6.319500000000000117e-01	1.124233071920586980e-03
4.900000000000000000e+02	6.232900000000000107e-01	1.116503470661869314e-03
4.950000000000000000e+02	6.151640000000000441e-01	1.109201514604086754e-03
5.000000000000000000e+02	6.054000000000000492e-01	1.100363576278313516e-03
5.050000000000000000e+02	5.998639999999999528e-01	1.095320957527974983e-03
5.100000000000000000e+02	5.970299999999999496e-01	1.092730524877931573e-03
5.150000000000000000e+02	5.967740000000000267e-01	1.092496224249768369e-03
5.200000000000000000e+02	5.856040000000000134e-01	1.082223636777537813e-03
5.250000000000000000e+02	5.705660000000000176e-01	1.068237801240903579e-03
5.300000000000000000e+02	5.536400000000000210e-01	1.052273728646686227e-03
5.350000000000000000e+02	5.332639999999999603e-01	1.032728425095387828e-03
5.400000000000000000e+02	5.078719999999999901e-01	1.007841257341651016e-03
5.450000000000000000e+02	4.801579999999999737e-01	9.799571419199923014e-04
5.500000000000000000e+02	4.629460000000000242e-01	9.622328200596776474e-04
5.550000000000000000e+02	4.422300000000000120e-01	9.404573355554200504e-04
5.600000000000000000e+02	4.224140000000000117e-01	9.191452551147723075e-04
5.650000000000000000e+02	4.060699999999999865e-01	9.011881046707175468e-04
5.700000000000000000e+02	3.934679999999999844e-01	8.870941325473864249e-04
5.750000000000000000e+02	3.810339999999999838e-01	8.729650623020374046e-04
5.800000000000000000e+02	3.741800000000000126e-01	8.650780311625072810e-04
5.850000000000000000e+02	3.722500000000000253e-01	8.628441342444184052e-04
5.900000000000000000e+02	3.679359999999999853e-01	8.578298199526523818e-04
5.950000000000000000e+02	3.634180000000000188e-01	8.525467729104368574e-04
6.000000000000000000e+02	3.557219999999999827e-01	8.434713984481038724e-04
6.050000000000000000e+02	3.496839999999999948e-01	8.362822490044853662e-04
6.100000000000000000e+02	3.468959999999999821e-01	8.329417746757572646e-04
6.150000000000000000e+02	3.475559999999999761e-01	8.337337704567328311e-04
6.200000000000000000e+02	3.459499999999999797e-01	8.318052656722004076e-04
6.250000000000000000e+02	3.420719999999999872e-01	8.271299776939534812e-04
6.300000000000000000e+02	3.372359999999999802e-01	8.212624428281132746e-04
6.350000000000000000e+02	3.332939999999999792e-01	8.164484062082551837e-04
6.400000000000000000e+02	3.289360000000000062e-01	8.110930896019271502e-04
6.450000000000000000e+02	3.271939999999999849e-01	8.089425195896182870e-04
6.500000000000000000e+02	3.239739999999999842e-01	8.049521724922543671e-04
6.550000000000000000e+02	3.245299999999999851e-01	8.056426006611120717e-04
6.600000000000000000e+02	3.229859999999999953e-01	8.037238331665921441e-04
6.650000000000000000e+02	3.246419999999999861e-01	8.057816081296469970e-04
6.700000000000000000e+02	3.208860000000000046e-01	8.011067344617693944e-04
6.750000000000000000e+02	3.197720000000000007e-01	7.997149492162816198e-04
6.800000000000000000e+02	3.148259999999999947e-01	7.935061436435132372e-04
6.850000000000000000e+02	3.164560000000000151e-01	7.955576660431347208e-04
6.900000000000000000e+02	3.152400000000000202e-01	7.940277073251284738e-04
6.950000000000000000e+02	3.148639999999999772e-01	7.935540309266912468e-04
7.000000000000000000e+02	3.133520000000000194e-01	7.916463857051328880e-04
7.050000000000000000e+02	3.140919999999999823e-01	7.925805952709163039e-04
7.100000000000000000e+02	3.126940000000000275e-01	7.908147697153866239e-04
7.150000000000000000e+02	3.111479999999999801e-01	7.888574015625383342e-04
7.200000000000000000e+02	3.120479999999999920e-01	7.899974683503738562e-04
7.250000000000000000e+02	3.101140000000000008e-01	7.875455542379754563e-04
7.300000000000000000e+02	3.086840000000000139e-01	7.857276881973805464e-04
7.350000000000000000e+02	3.098879999999999968e-01	7.872585344091228470e-04
7.400000000000000000e+02	3.077400000000000135e-01	7.845253341989664618e-04
7.450000000000000000e+02	3.077500000000000235e-01	7.845380806563821696e-04
7.500000000000000000e+02	3.080620000000000025e-01	7.849356661536027171e-04
7.550000000000000000e+02	3.051840000000000108e-01	7.812605199291718571e-04
7.600000000000000000e+02	3.055539999999999923e-01	7.817339700946863892e-04
7.650000000000000000e+02	3.043460000000000054e-01	7.801871570334902722e-04
7.700000000000000000e+02	3.038060000000000205e-01	7.794947081282848928e-04
7.750000000000000000e+02	3.032900000000000040e-01	7.788324595187336380e-04
7.800000000000000000e+02	3.020079999999999987e-01	7.771846627411017894e-04
7.850000000000000000e+02	3.013259999999999827e-01	7.763066404456424189e-04
7.900000000000000000e+02	3.005840000000000178e-01	7.753502434384089252e-04
7.950000000000000000e+02	2.982159999999999811e-01	7.722901009335805247e-04
