260.0	0.0
270.0	0.0005
280.0	0.002
290.0	0.0156
300.0	0.0693
310.0	0.1579
320.0	0.2475
330.0	0.3095
340.0	0.346
350.0	0.3633
360.0	0.3696
370.0	0.3688
380.0	0.3679
390.0	0.365
400.0	0.3583
410.0	0.3489
420.0	0.3382
430.0	0.3264
440.0	0.313
450.0	0.2966
460.0	0.2766
470.0	0.2574
480.0	0.2417
490.0	0.2287
500.0	0.2158
510.0	0.1949
520.0	0.1602
530.0	0.1271
540.0	0.105
550.0	0.0905
560.0	0.0789
570.0	0.0684
580.0	0.0582
590.0	0.0484
600.0	0.0391
610.0	0.0307
620.0	0.0232
630.0	0.0168
640.0	0.0117
650.0	0.0078
660.0	0.0049
670.0	0.0029
680.0	0.0017
690.0	0.0 
700.0	0.0
710.0	0.0
720.0	0.0
730.0	0.0
