# Wavelength(nm) 	 QE 	 error
4.750000000000000000e+02	6.054939999999999767e-01	1.100448999272569603e-03
4.800000000000000000e+02	5.903720000000000079e-01	1.086620448914891318e-03
4.850000000000000000e+02	5.731920000000000348e-01	1.070693233377329346e-03
4.900000000000000000e+02	5.647440000000000238e-01	1.062773729445736816e-03
4.950000000000000000e+02	5.545240000000000169e-01	1.053113479165469725e-03
5.000000000000000000e+02	5.485799999999999566e-01	1.047454056271681939e-03
5.050000000000000000e+02	5.434020000000000516e-01	1.042498920862750846e-03
5.100000000000000000e+02	5.422219999999999818e-01	1.041366410059398713e-03
5.150000000000000000e+02	5.412059999999999649e-01	1.040390311373572954e-03
5.200000000000000000e+02	5.285159999999999858e-01	1.028120615492170891e-03
5.250000000000000000e+02	5.149340000000000028e-01	1.014824122693188616e-03
5.300000000000000000e+02	4.991860000000000186e-01	9.991856684320487344e-04
5.350000000000000000e+02	4.783800000000000274e-01	9.781410941167945159e-04
5.400000000000000000e+02	4.549599999999999755e-01	9.538972691018671917e-04
5.450000000000000000e+02	4.262839999999999963e-01	9.233460889612302202e-04
5.500000000000000000e+02	4.106179999999999830e-01	9.062207236650461888e-04
5.550000000000000000e+02	3.942640000000000033e-01	8.879909909452910616e-04
5.600000000000000000e+02	3.753759999999999875e-01	8.664594624101003154e-04
5.650000000000000000e+02	3.626539999999999764e-01	8.516501629190239946e-04
5.700000000000000000e+02	3.489340000000000219e-01	8.353849412097394834e-04
5.750000000000000000e+02	3.384220000000000006e-01	8.227052935286121877e-04
5.800000000000000000e+02	3.333420000000000272e-01	8.165071953142849894e-04
5.850000000000000000e+02	3.288860000000000117e-01	8.110314420538824662e-04
5.900000000000000000e+02	3.263840000000000074e-01	8.079405918754175393e-04
5.950000000000000000e+02	3.206140000000000101e-01	8.007671321926244402e-04
6.000000000000000000e+02	3.157440000000000246e-01	7.946621923811400057e-04
6.050000000000000000e+02	3.091880000000000184e-01	7.863688701875221542e-04
6.100000000000000000e+02	3.070100000000000051e-01	7.835942827764888355e-04
6.150000000000000000e+02	3.048580000000000179e-01	7.808431340544654767e-04
6.200000000000000000e+02	3.050999999999999823e-01	7.811529939774922377e-04
6.250000000000000000e+02	3.023500000000000076e-01	7.776245880886227015e-04
6.300000000000000000e+02	2.963779999999999748e-01	7.699064878282297405e-04
6.350000000000000000e+02	2.924260000000000193e-01	7.647561702922049329e-04
6.400000000000000000e+02	2.907580000000000164e-01	7.625719638171861913e-04
6.450000000000000000e+02	2.896480000000000166e-01	7.611149716041591250e-04
6.500000000000000000e+02	2.862399999999999944e-01	7.566240810336398795e-04
6.550000000000000000e+02	2.875840000000000063e-01	7.583983122344088723e-04
6.600000000000000000e+02	2.861940000000000039e-01	7.565632822176872893e-04
6.650000000000000000e+02	2.880659999999999887e-01	7.590335960944021325e-04
6.700000000000000000e+02	2.832459999999999978e-01	7.526566282176753477e-04
6.750000000000000000e+02	2.810199999999999920e-01	7.496932706113881763e-04
6.800000000000000000e+02	2.800940000000000096e-01	7.484570795977548265e-04
6.850000000000000000e+02	2.798939999999999761e-01	7.481898154880217439e-04
6.900000000000000000e+02	2.800779999999999936e-01	7.484357019811387849e-04
6.950000000000000000e+02	2.788140000000000063e-01	7.467449363738598838e-04
7.000000000000000000e+02	2.795839999999999992e-01	7.477753673396843890e-04
7.050000000000000000e+02	2.789539999999999798e-01	7.469323931923156851e-04
7.100000000000000000e+02	2.772259999999999724e-01	7.446153369357899360e-04
7.150000000000000000e+02	2.786859999999999893e-01	7.465735060930034925e-04
7.200000000000000000e+02	2.771120000000000250e-01	7.444622220099553298e-04
7.250000000000000000e+02	2.775179999999999869e-01	7.450073825137574351e-04
7.300000000000000000e+02	2.763780000000000125e-01	7.434756216581683624e-04
7.350000000000000000e+02	2.769360000000000155e-01	7.442257721955078918e-04
7.400000000000000000e+02	2.770199999999999885e-01	7.443386326128719052e-04
7.450000000000000000e+02	2.760739999999999861e-01	7.430666188169133103e-04
7.500000000000000000e+02	2.756299999999999861e-01	7.424688545656309667e-04
7.550000000000000000e+02	2.758140000000000036e-01	7.427166350634674527e-04
7.600000000000000000e+02	2.753959999999999742e-01	7.421536229110520114e-04
7.650000000000000000e+02	2.747439999999999882e-01	7.412745780073670037e-04
7.700000000000000000e+02	2.734639999999999849e-01	7.395458065596748239e-04
7.750000000000000000e+02	2.731580000000000119e-01	7.391319232721584552e-04
7.800000000000000000e+02	2.728340000000000209e-01	7.386934411513344399e-04
7.850000000000000000e+02	2.728499999999999814e-01	7.387151006985033866e-04
7.900000000000000000e+02	2.737720000000000153e-01	7.399621611947465030e-04
7.950000000000000000e+02	2.723360000000000225e-01	7.380189699458949851e-04
