# Temperature 	 alpha_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 1.095301815379203845e+02 1.405644972269855186e+00 2.964108556794550431e+00
-4.000000000000000000e+01 1.054529705109491857e+02 1.180805260188597439e+00 2.693481118620479453e+00
-3.000000000000000000e+01 9.814410636567370716e+01 8.726236015779742505e-01 2.320589365043248531e+00
-2.500000000000000000e+01 9.391465269861494392e+01 1.272425072109215183e+00 2.604110978447951030e+00
-2.000000000000000000e+01 9.126522046431639978e+01 9.572350126936451931e-01 2.273761770570499330e+00
-1.500000000000000000e+01 8.901745740771193027e+01 8.727633346268809378e-01 2.166641933734473557e+00
-1.000000000000000000e+01 8.616186916882585933e+01 7.781970307117878072e-01 2.044231755106637127e+00
