# Temperature 	 electron_yield(1/Mev) 	 yield_error_statistical 	 yield_error_sys+statistical
-5.000000000000000000e+01 2.874661243449225481e+02 3.645497458857214212e+00 6.905951232628637193e+00
-4.000000000000000000e+01 2.525262054631778312e+02 1.316308347802008338e+00 4.405829597275631393e+00
-3.000000000000000000e+01 2.220979304491407333e+02 1.032000728275580981e+00 3.772895962464648534e+00
-2.500000000000000000e+01 2.114631225387091433e+02 1.104288333882939899e+00 3.656589559088551322e+00
-2.000000000000000000e+01 2.004656046810737848e+02 1.119278468575653607e+00 3.503042270487492171e+00
-1.500000000000000000e+01 1.875137700251936792e+02 9.554240531461632990e-01 3.212679540112284737e+00
-1.000000000000000000e+01 1.762961989217833434e+02 9.561905448648082562e-01 3.053799264962013371e+00
-5.000000000000000000e+00 1.662767732510417034e+02 9.112373928833850112e-01 2.882182044287752376e+00
