r(mm)	z(mm)
0.000000	36.283950
0.512222	36.251152
1.024445	36.205394
1.536667	36.169437
2.048889	36.121538
2.561112	36.103158
3.073334	36.080135
3.585557	36.022022
4.097779	35.959101
4.610001	35.911063
5.122224	35.876387
5.634446	35.862399
6.146668	35.815955
6.658891	35.760862
7.171113	35.661540
7.683335	35.621652
8.195558	35.554251
8.707780	35.483561
9.220002	35.418140
9.732225	35.326791
10.244447	35.225859
10.756670	35.176592
11.268892	35.035128
11.781114	34.982586
12.293337	34.875974
12.805559	34.796395
13.317781	34.665108
13.830004	34.564334
14.342226	34.494379
14.854448	34.365926
15.366671	34.312564
15.878893	34.118169
16.391115	33.985695
16.903338	33.910180
17.415560	33.760259
17.927783	33.681060
18.440005	33.476708
18.952227	33.264927
19.464450	33.153932
19.976672	33.042353
20.488894	32.844241
21.001117	32.639176
21.513339	32.484695
22.025561	32.250260
22.537784	32.101993
23.050006	31.874852
23.562228	31.769089
24.074451	31.505992
24.586673	31.374005
25.098896	31.079399
25.611118	30.920170
26.123340	30.590351
26.635563	30.458793
27.147785	30.146321
27.660007	30.014924
28.172230	29.666896
28.684452	29.550845
29.196674	29.198079
29.708897	29.021399
30.221119	28.678803
30.733341	28.313631
31.245564	28.183137
31.757786	27.822740
32.270009	27.667968
32.782231	27.268131
33.294453	26.835549
33.806676	26.454402
34.318898	26.126051
34.831120	25.874999
35.343343	25.611961
35.855565	25.343171
36.367787	25.066222
36.880010	24.778119
37.392232	24.254991
37.904455	24.001469
38.416677	23.497654
38.928899	23.292348
39.441122	22.751374
39.953344	22.497442
40.465566	22.036843
40.977789	21.663983
41.490011	21.229916
42.002233	20.798564
42.514456	20.386460
43.026678	19.902710
43.538900	19.521636
44.051123	19.014708
44.563345	18.625747
45.075568	18.056314
45.587790	17.539515
46.100012	17.002642
46.612235	16.416473
47.124457	15.941163
47.636679	15.476583
48.148902	14.838592
48.661124	14.392326
49.173346	13.847350
49.685569	12.966670
50.197791	12.299813
50.710013	11.670000
51.000000	11.670000
200.000000	11.670000
