r(mm)	z(mm)
	
0.000000	102.800000
1.690290	102.800000
2.964043	102.793557
4.237797	102.759930
5.511550	102.704286
6.785304	102.631796
8.059057	102.561695
9.332811	102.470293
10.606565	102.374570
11.880318	102.283914
13.154072	102.155600
14.427825	102.017931
15.701579	101.836716
16.975332	101.676129
18.249086	101.498648
19.522839	101.296314
20.796593	101.108155
22.070346	100.897865
23.344100	100.689479
24.617854	100.467081
25.891607	100.206458
27.165361	99.948745
28.439114	99.628905
29.712868	99.340816
30.986621	99.038202
32.260375	98.703826
33.534128	98.366200
34.807882	98.001107
36.081636	97.636934
37.355389	97.253539
38.629143	96.865451
39.902896	96.454998
41.176650	96.040285
42.450403	95.607579
43.724157	95.163395
44.997910	94.692646
46.271664	94.220675
47.545418	93.696887
48.819171	93.163851
50.092925	92.621716
51.366678	92.072830
52.640432	91.499817
53.914185	90.908196
55.187939	90.286661
56.461692	89.664228
57.735446	89.044396
59.009200	88.401314
60.282953	87.714875
61.556707	87.026223
62.830460	86.324124
64.104214	85.612642
65.377967	84.863009
66.651721	84.090136
67.925474	83.289508
69.199228	82.476649
70.472982	81.661839
71.746735	80.811927
73.020489	79.915713
74.294242	79.021779
75.567996	78.113717
76.841749	77.174450
78.115503	76.201649
79.389256	75.188613
80.663010	74.148421
81.936764	73.105741
83.210517	72.028423
84.484271	70.905318
85.758024	69.760872
87.031778	68.621821
88.305531	67.428784
89.579285	66.188324
90.853038	64.923160
92.126792	63.592638
93.400546	62.239357
94.674299	60.847804
95.948053	59.396779
97.221806	57.938161
98.495560	56.511019
99.769313	55.098338
101.043067	53.716185
102.316820	52.372115
103.590574	51.059579
104.864328	49.738873
106.138081	48.450737
107.411835	47.133172
108.685588	45.842415
109.959342	44.539772
111.233095	43.254359
112.506849	42.800000
113.780602	42.800000
115.054356	42.800000
116.328110	42.800000
117.601863	42.800000
118.875617	42.800000
120.149370	42.800000
121.423124	42.800000
122.696877	42.800000
123.970631	42.800000
125.244384	42.800000
126.518138	42.800000
200.000000	42.800000
