# Wavelength(nm) 	 Amplitude 	 Effective thickness (nm) 	 Max. QE
6.100000000000000000e+02	6.405121959191875103e-01	7.896280120948858894e+01	6.349653724967048163e-01
6.150000000000000000e+02	6.435641904232010102e-01	7.944859801786195419e+01	6.368820329761938348e-01
6.200000000000000000e+02	6.433517282102640955e-01	7.988684855308400756e+01	6.394225549471250769e-01
6.250000000000000000e+02	6.588510933573991091e-01	7.897847103007573821e+01	6.423051208842246451e-01
6.300000000000000000e+02	6.616183234444866779e-01	7.906395484718868261e+01	6.439888766743644410e-01
6.350000000000000000e+02	6.450810802349791206e-01	8.179605160014452281e+01	6.426140493593902603e-01
6.400000000000000000e+02	6.409209452132567097e-01	8.304927274965325523e+01	6.448342092522102442e-01
6.450000000000000000e+02	6.475478305651287680e-01	8.358532376434519051e+01	6.446058887850550922e-01
6.500000000000000000e+02	6.761781394440468107e-01	7.956824441654663360e+01	6.459778695403182169e-01
6.550000000000000000e+02	6.503176844672411416e-01	8.397166006120261272e+01	6.498870541638549492e-01
6.600000000000000000e+02	6.516484392364969569e-01	8.467393132544196988e+01	6.493128389015202506e-01
6.650000000000000000e+02	6.702654855856547966e-01	8.239750903440838670e+01	6.490102810745296269e-01
6.700000000000000000e+02	6.578124720863667285e-01	8.433480217768976672e+01	6.511563337128676299e-01
6.750000000000000000e+02	6.496791886759176737e-01	8.641623466297859579e+01	6.518212215831133971e-01
6.800000000000000000e+02	6.587767701356910255e-01	8.575613101761820189e+01	6.528464259131034897e-01
6.850000000000000000e+02	6.586643122737627642e-01	8.618518514222488136e+01	6.522032318830726094e-01
6.900000000000000000e+02	6.673654314118884212e-01	8.546984826512640154e+01	6.525804554675312952e-01
6.950000000000000000e+02	6.462009315837263790e-01	8.957666371626444857e+01	6.543573567992694295e-01
7.000000000000000000e+02	6.599335333262427161e-01	8.753353898863818472e+01	6.566022213178628331e-01
7.050000000000000000e+02	6.764144174645425611e-01	8.559927267436923159e+01	6.554849226550200081e-01
7.100000000000000000e+02	6.542834345888813852e-01	9.042989569391492921e+01	6.573141914242974782e-01
7.150000000000000000e+02	6.622611361274510777e-01	8.885606333554974867e+01	6.579320725105990419e-01
7.200000000000000000e+02	6.602364248185910167e-01	8.949388565464373357e+01	6.576143246286639821e-01
7.250000000000000000e+02	6.780667881535261676e-01	8.729701252335831896e+01	6.596944343613212469e-01
7.300000000000000000e+02	6.545189874110410866e-01	9.142707840618416526e+01	6.576487036481866166e-01
7.350000000000000000e+02	6.456437164254842376e-01	9.380181388999801584e+01	6.585829732346264453e-01
7.400000000000000000e+02	6.831450261210793018e-01	8.713362572417128149e+01	6.604140154406522578e-01
7.450000000000000000e+02	6.721273471102435781e-01	8.997726914398110409e+01	6.611211779235126595e-01
7.500000000000000000e+02	6.523535150930007687e-01	9.391028419861012821e+01	6.616432771518373501e-01
