250.0 	    0.0 
270.0 	    0.0 
280.0 	    1.8 
290.0 	   12.3 
300.0 	   23.4 
310.0 	   39.0 
320.0 	   58.4 
330.0 	   80.1 
340.0 	  105.4 
350.0 	  138.8 
360.0 	  168.0 
370.0 	  203.3 
380.0 	  239.5 
390.0 	  254.0 
400.0 	  283.2 
410.0 	  308.5 
420.0 	  339.8 
430.0 	  354.7 
440.0 	  378.1 
450.0 	  406.5 
460.0 	  431.7 
470.0 	  462.3 
480.0 	  485.2 
490.0 	  510.4 
500.0 	  538.5 
510.0 	  579.8 
520.0 	  608.5 
530.0 	  631.9 
540.0 	  648.6 
550.0 	  719.6 
560.0 	  741.3 
570.0 	  776.2 
580.0 	  808.0 
590.0 	  849.7 
600.0 	  849.7 
730.0 	  849.7 
